"time","baseline_survival"
0,1
1,1
2,1
3,0.998237142438172
4,0.989349180987972
5,0.983967400649215
6,0.97676914634042
7,0.965799275301291
8,0.956503863561877
9,0.954633519802929
10,0.945207831802395
11,0.939480193293965
12,0.926004882046977
13,0.918194562444191
14,0.918194562444191
15,0.9082769023501
16,0.904248875919221
17,0.892024409055057
18,0.88781781223514
19,0.883456454825616
20,0.881251644211994
21,0.876845543262812
22,0.874647118830507
23,0.863494563132719
24,0.854434996988842
25,0.847570532178785
26,0.845259512188038
27,0.835940023643916
28,0.833587415868793
29,0.826503084019319
30,0.826503084019319
31,0.824143467804284
32,0.819393382358632
33,0.816978962547264
34,0.814540780344905
35,0.814540780344905
36,0.809494956954763
37,0.804357554081603
38,0.801761268086859
39,0.799130402505222
40,0.799130402505222
41,0.796491135504595
42,0.793846831928112
43,0.783141625133228
44,0.777779652324029
45,0.775006429379316
46,0.775006429379316
47,0.769304053157873
48,0.763299838014593
49,0.760227221360275
50,0.760227221360275
51,0.760227221360275
52,0.760227221360275
53,0.756995274015939
54,0.750436785352726
55,0.747102566577437
56,0.736900773077138
57,0.736900773077138
58,0.733326847568739
59,0.725779530378022
60,0.725779530378022
61,0.725779530378022
62,0.725779530378022
63,0.725779530378022
64,0.725779530378022
65,0.721722090672385
66,0.721722090672385
67,0.713459556978576
68,0.713459556978576
69,0.709215588174932
70,0.709215588174932
71,0.709215588174932
72,0.700275553297054
73,0.700275553297054
74,0.700275553297054
75,0.695433938621366
76,0.690571234891617
77,0.690571234891617
78,0.685529477864492
79,0.685529477864492
80,0.685529477864492
81,0.680185531563443
82,0.680185531563443
83,0.680185531563443
84,0.674338440458361
85,0.662575271854743
86,0.656307992788983
87,0.649811208855116
88,0.649811208855116
89,0.649811208855116
90,0.649811208855116
91,0.643156309152055
92,0.643156309152055
93,0.643156309152055
94,0.643156309152055
95,0.635259031676699
96,0.627079130145673
97,0.618597424496969
98,0.618597424496969
99,0.618597424496969
100,0.609458594947712
101,0.609458594947712
102,0.609458594947712
103,0.609458594947712
104,0.609458594947712
105,0.609458594947712
106,0.609458594947712
107,0.609458594947712
108,0.609458594947712
109,0.594644936443627
110,0.579442239180828
111,0.579442239180828
112,0.579442239180828
113,0.579442239180828
114,0.579442239180828
115,0.579442239180828
116,0.579442239180828
117,0.579442239180828
118,0.579442239180828
119,0.579442239180828
120,0.579442239180828
